Date,Start time,End Time,Hours,Location
2/8/2021,8:00:00 AM,2:30:00 PM,6:30,Home
3/8/2021,8:30:00 AM,1:00:00 PM,4:30,Home
6/8/2021,9:00:00 AM,4:00:00 PM,7:00,Home
9/8/2021,8:00:00 AM,1:30:00 PM,5:30,Home
10/8/2021,9:30:00 AM,1:00:00 PM,3:30,Home
23/08/2021,8:00:00 AM,4:00:00 PM,8:00,Home
24/08/2021,8:30:00 AM,1:00:00 PM,4:30,Home
25/08/2021,8:00:00 AM,4:00:00 PM,8:00,Home
26/08/2021,8:00:00 AM,2:00:00 PM,6:00,Home
27/08/2021,8:30:00 AM,3:00:00 PM,6:30,Home
30/08/2021,8:00:00 AM,4:00:00 PM,8:00,Home
31/08/2021,8:30:00 AM,1:00:00 PM,4:30,Office
01/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
02/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
03/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
06/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
07/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
08/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
09/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
10/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
13/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
14/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
15/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
16/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
17/09/2021,8:00:00 AM,4:00:00 PM,8:00,Office
20/09/2021,8:00:00 AM,4:00:00 PM,8:00,Home
21/09/2021,8:00:00 AM,4:00:00 PM,8:00,Home
22/09/2021,8:00:00 AM,4:00:00 PM,8:00,Home
23/09/2021,8:00:00 AM,4:00:00 PM,8:00,Home
24/09/2021,8:00:00 AM,4:00:00 PM,8:00,Home
27/09/2021,8:00:00 AM,2:00:00 PM,6:00,Home
28/09/2021,8:00:00 AM,2:00:00 PM,6:00,Office
29/09/2021,8:00:00 AM,2:00:00 PM,6:00,Office
30/09/2021,8:00:00 AM,2:00:00 PM,6:00,Office
01/10/2021,8:00:00 AM,2:00:00 PM,6:00,Office